id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
3BvR83k9fPwDZUBwFxBPpu,2AM,Sebastian Yatra,62,2024-11-22,"colombian pop, latin pop, reggaeton, reggaeton colombiano, urbano latino",0.73,0.745,0.717,111.999,-5.127,196427,1,0
3CIyK1V4JEJkg02E4EJnDl,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,80,2022-07-01,"modern rock, pop, rock",0.728,0.783,0.555,77.011,-4.424,173381,11,0
1zB4vmk8tFRmM9UULNzbLB,Thunder,Imagine Dragons,84,2017-06-23,"modern rock, pop, rock",0.604,0.822,0.288,167.997,-4.833,187147,0,1
2ThaHV10xrAcL2WfqXyLnp,Symphony,Imagine Dragons,62,2022-07-01,"modern rock, pop, rock",0.662,0.64,0.921,90.002,-5.223,175833,7,1
2czjUxrgctplH7SDrJLGGb,Bones - twocolors Remix,Imagine Dragons,45,2022-10-25,"modern rock, pop, rock",0.682,0.761,0.498,123.988,-6.661,256092,8,1
4C20SN2nzLbsZbS6A4idoA,Love Of Mine - Night Visions Demo,Imagine Dragons,44,2022-09-02,"modern rock, pop, rock",0.446,0.829,0.207,75.01,-6.665,249996,0,1
4n1NdHdorunkuC2nQJX6ld,Bubble - Night Visions Demo,Imagine Dragons,39,2022-09-09,"modern rock, pop, rock",0.639,0.864,0.737,114.928,-6.395,202699,8,1
7sA2SKTo1QbTSSYn5YvJC4,Sharks,Imagine Dragons,72,2022-07-01,"modern rock, pop, rock",0.927,0.642,0.901,123.969,-4.466,190883,10,0
3soSAbnGLuJeARGmegvMFJ,I Don't Like Myself,Imagine Dragons,54,2022-07-01,"modern rock, pop, rock",0.574,0.71,0.6,172.88,-4.84,185496,11,0
5i6V88QD3nt9at4915JISY,Blur,Imagine Dragons,49,2022-07-01,"modern rock, pop, rock",0.684,0.785,0.639,129.988,-3.219,175663,2,1
66N0XT7yr2VuFxrMc8piUy,Higher Ground,Imagine Dragons,52,2022-07-01,"modern rock, pop, rock",0.694,0.657,0.61,122.208,-6.278,161843,5,0
6rBsmp96jxTRpFqQEfxAdY,Crushed,Imagine Dragons,48,2022-07-01,"modern rock, pop, rock",0.624,0.734,0.219,116.949,-4.876,188942,7,0
6Y2Iom5hrfZyhBRGqcrJdc,Take It Easy,Imagine Dragons,46,2022-07-01,"modern rock, pop, rock",0.391,0.65,0.296,171.859,-4.974,158270,5,0
0YbFEoJi7Esa7lhIrEpBjl,Waves,Imagine Dragons,61,2022-07-01,"modern rock, pop, rock",0.468,0.618,0.261,120.123,-6.353,225431,9,1
0z2bufPrU83RRPRaboj3B7,I'm Happy,Imagine Dragons,47,2022-07-01,"modern rock, pop, rock",0.678,0.576,0.364,106.041,-4.767,185219,2,1
1qaWM3wK6aZZALpAPVdZ6D,Ferris Wheel,Imagine Dragons,46,2022-07-01,"modern rock, pop, rock",0.392,0.355,0.208,118.451,-8.316,203876,0,1
3bwvtkLyVe7YWrKRlViloR,Peace Of Mind,Imagine Dragons,47,2022-07-01,"modern rock, pop, rock",0.61,0.626,0.606,73.536,-4.784,173929,0,1
3IkEM7cjZ8FZtmVFq1q03c,Sirens,Imagine Dragons,52,2022-07-01,"modern rock, pop, rock",0.67,0.671,0.363,98.965,-6.488,155312,11,0
35CZvVV7UzYgydaVpNW4Kp,Tied,Imagine Dragons,46,2022-07-01,"modern rock, pop, rock",0.427,0.298,0.117,110.599,-8.344,241806,0,1
