id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode,genre_list,user,rating
1ahCrpeTt94LL7y1aXw0Y8,Linda,Tokischa,62,2021-09-01,"{105: 'rap latina', 215: 'trap dominicano'}",0.891,0.751,0.711,115.046,-3.15,144019,2,1,"['rap latina', 'trap dominicano']",1,2.5
3re91K41XNVsViNbCPumTw,Oral,Björk,49,2023-11-21,"{259: 'alternative rock', 62: 'art pop', 236: 'electronica', 377: 'experimental pop', 378: 'experimental vocal', 379: 'icelandic experimental', 380: 'icelandic pop', 381: 'icelandic singer-songwriter', 167: 'metropopolis', 66: 'permanent wave', 382: 'trip hop'}",0.399,0.688,0.265,114.003,-6.335,222737,11,0,"['alternative rock', 'art pop', 'electronica', 'experimental pop', 'experimental vocal', 'icelandic experimental', 'icelandic pop', 'icelandic singer-songwriter', 'metropopolis', 'permanent wave', 'trip hop']",1,2.4
4Dl8bEzhAEGbcwkQawS1XG,Antes de Morirme (feat. ROSALÍA),C. Tangana,71,2016-07-05,{104: 'urbano espanol'},0.864,0.497,0.133,97.93,-8.886,199994,8,0,['urbano espanol'],1,4.4
1wvUSmrSoIDcoO6Y9GeIR6,Nothing’s Special,Oneohtrix Point Never,15,2021-05-19,"{383: 'ambient', 62: 'art pop', 384: 'drone', 97: 'escape room', 377: 'experimental pop', 385: 'fluxwork', 386: 'hauntology', 387: 'hypnagogic pop', 388: 'intelligent dance music', 389: 'wonky'}",0.221,0.308,0.0647,94.729,-7.162,212005,7,1,"['ambient', 'art pop', 'drone', 'escape room', 'experimental pop', 'fluxwork', 'hauntology', 'hypnagogic pop', 'intelligent dance music', 'wonky']",1,4.6
75rqqKvzJCGv2oq9C4yFDt,PROMESA,ROSALÍA,54,2023-03-24,"{9: 'pop', 162: 'r&b en espanol'}",0.63,0.374,0.373,104.955,-9.007,196427,6,1,"['pop', 'r&b en espanol']",1,2.6
3Eax1yebRxj6LSYpxE9Yd3,VAMPIROS,ROSALÍA,61,2023-03-24,"{9: 'pop', 162: 'r&b en espanol'}",0.766,0.684,0.474,102.045,-4.281,176590,9,0,"['pop', 'r&b en espanol']",1,2.9
609E1JCInJncactoMmkDon,BESO,ROSALÍA,76,2023-03-24,"{9: 'pop', 162: 'r&b en espanol'}",0.768,0.644,0.53,95.05,-6.671,194543,5,0,"['pop', 'r&b en espanol']",1,3.0
62idAqgmMxIIchpckGjMDU,Seguiriya Madre,Niño de Elche,29,2022-11-18,{111: 'spanish pop'},0.466,0.283,0.143,132.084,-7.562,250253,5,1,['spanish pop'],1,2.4
5e5yQoZklv1jp5bt5U47oH,Un Largo Viaje,Fernando Vacas,0,2018-04-27,{55: 'unknown'},0.518,0.336,0.138,112.675,-4.905,303241,9,0,['unknown'],1,3.7
4CD623yLJVvKJxUyzaTqtC,DESPECHÁ RMX,ROSALÍA,49,2022-12-16,"{9: 'pop', 162: 'r&b en espanol'}",0.954,0.582,0.884,130.008,-5.744,170828,9,0,"['pop', 'r&b en espanol']",1,4.3
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,85,2024-08-15,{390: 'k-pop'},0.477,0.854,0.314,140.515,-4.715,179790,7,1,['k-pop'],1,2.9
4OMJGnvZfDvsePyCwRGO7X,Houdini,Dua Lipa,70,2023-11-09,"{8: 'dance pop', 9: 'pop', 148: 'uk pop'}",0.744,0.789,0.866,116.985,-4.876,185918,9,0,"['dance pop', 'pop', 'uk pop']",1,3.7
1vYXt7VSjH9JIM5oRRo7vA,Dance The Night - From Barbie The Album,Dua Lipa,80,2023-05-25,"{8: 'dance pop', 9: 'pop', 148: 'uk pop'}",0.671,0.845,0.775,110.056,-4.93,176579,11,0,"['dance pop', 'pop', 'uk pop']",1,2.3
