id,song_name,artist_name,popularity,release_date,genres,danceability,energy,valence,tempo,loudness,duration_ms,key,mode
2FORmIHZLj458gwxSfT4l7,All My Love,Major Lazer,0,2014-12-01,"dance pop, edm, electro house, moombahton, pop, pop dance",0.655,0.81,0.328,114.97,-4.742,212307,5,1
7wMPhUSe6CZga1vOMpLTJP,Beauty and the Beast,Ariana Grande,62,2017-03-10,pop,0.489,0.54,0.27,81.4,-7.046,227928,6,1
0SqRx2qXC1H2Bojtz0tqHz,Get On Your Knees,Nicki Minaj,35,2014-12-12,"hip pop, pop, queens hip hop, rap",0.654,0.445,0.175,144.014,-7.182,216493,0,0
1Rp8zCRpkHyEDqaUczfMZA,Put Your Hearts Up,Ariana Grande,45,2011-01-01,pop,0.597,0.815,0.581,162.039,-4.802,210200,9,1
1w1kzejjmiMhdWAOecgo4l,They Don't Know,Ariana Grande,56,2016-09-23,pop,0.671,0.71,0.71,98.073,-6.749,197253,7,1
60APt5N2NRaKWf5xzJdzyC,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",Calvin Harris,50,2017-06-30,"dance pop, edm, electro house, house, pop, progressive house, uk dance",0.784,0.728,0.713,110.165,-4.549,229160,0,0
2S1LebN6AXXQqJolBxlWgO,Earth,Lil Dicky,2,2019-04-18,"comedy rap, indie pop rap, pop rap",0.694,0.664,0.676,95.941,-4.649,281500,2,1
6sYzeBPZNe8nmZqoOgu48i,Without Love,Garrett Clayton,32,2016-12-02,movie tunes,0.619,0.786,0.542,98.001,-3.067,267813,0,1
1R6VwZ8TuHRzxZUxe88n4I,Rule The World (feat. Ariana Grande),2 Chainz,47,2019-03-01,"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap",0.593,0.584,0.448,88.061,-6.232,245893,8,0
5gyOXbzzGvSsTsQ4UHErMY,The Wizard And I - Live,Stephen Schwartz,46,2019-02-08,"broadway, show tunes",0.358,0.517,0.318,139.795,-6.365,235387,0,1
0pnNJJt6DGVWzDSoxxD6Op,"Zero To Hero - From ""Hercules""",Ariana Grande,17,2015-10-23,pop,0.51,0.763,0.613,116.015,-5.542,159533,0,1
07rJ9xLSbBKLwJHW73CApr,Boys Like You,Who Is Fancy,0,2015-11-23,,0.731,0.595,0.793,104.927,-5.326,194533,0,0
6Uc4EHr3ktYmLfLDY7LifJ,Snow In California,Ariana Grande,54,2013-01-01,pop,0.631,0.533,0.428,135.002,-5.965,206373,1,1
2wl3uqueM4IEY86fWq0iTh,Over And Over Again,Nathan Sykes,40,2016-11-11,"post-teen pop, talent show, teen pop",0.463,0.245,0.395,129.415,-9.438,246893,8,1
3KuZx7FPNcqXG8YFN5Y0OG,"Faith - From ""Sing"" Original Motion Picture Soundtrack",Stevie Wonder,54,2016-11-04,"motown, soul",0.732,0.871,0.93,158.052,-3.626,160880,1,1
7lBXBMQUnPd8rWCBF2VuL8,You Can't Stop the Beat,Maddie Baillio,36,2016-12-02,,0.627,0.947,0.859,167.998,-3.175,312333,2,1
